,수원시,행정동,법정동
0,권선구,평동,고색동
1,권선구,곡선동,곡반정동
2,권선구,구운동,구운동
3,권선구,곡선동,권선동
4,권선구,권선1동,권선동
5,권선구,권선2동,권선동
6,권선구,금곡동,금곡동
7,권선구,입북동,당수동
8,권선구,곡선동,대황교동
9,권선구,서둔동,서둔동
10,권선구,세류1동,세류동
11,권선구,세류2동,세류동
12,권선구,세류3동,세류동
13,권선구,,수원시권선구
14,권선구,평동,오목천동
15,권선구,입북동,입북동
16,권선구,세류2동,장지동
17,권선구,서둔동,탑동
18,권선구,평동,평동
19,권선구,평동,평리동
20,권선구,평동,호매실동
21,권선구,호매실동,호매실동
22,영통구,망포1동,망포동
23,영통구,망포2동,망포동
24,영통구,영통2동,망포동
25,영통구,매탄1동,매탄동
26,영통구,매탄2동,매탄동
27,영통구,매탄3동,매탄동
28,영통구,매탄4동,매탄동
29,영통구,,수원시영통구
30,영통구,영통2동,신동
31,영통구,영통1동,영통동
32,영통구,영통2동,영통동
33,영통구,영통3동,영통동
34,영통구,원천동,원천동
35,영통구,광교1동,이의동
36,영통구,광교2동,하동
37,장안구,연무동,상광교동
38,장안구,송죽동,송죽동
39,장안구,,수원시장안구
40,장안구,연무동,연무동
41,장안구,영화동,영화동
42,장안구,율천동,율전동
43,장안구,파장동,이목동
44,장안구,정자1동,정자동
45,장안구,정자2동,정자동
46,장안구,정자3동,정자동
47,장안구,조원1동,조원동
48,장안구,조원2동,조원동
49,장안구,율천동,천천동
50,장안구,정자3동,천천동
51,장안구,파장동,파장동
52,장안구,연무동,하광교동
53,팔달구,고등동,고등동
54,팔달구,매교동,교동
55,팔달구,행궁동,구천동
56,팔달구,행궁동,남수동
57,팔달구,행궁동,남창동
58,팔달구,매교동,매교동
59,팔달구,매산동,매산로1가
60,팔달구,매산동,매산로2가
61,팔달구,매산동,매산로3가
62,팔달구,행궁동,매향동
63,팔달구,행궁동,북수동
64,팔달구,,수원시팔달구
65,팔달구,행궁동,신풍동
66,팔달구,행궁동,영동
67,팔달구,우만1동,우만동
68,팔달구,우만2동,우만동
69,팔달구,인계동,인계동
70,팔달구,행궁동,장안동
71,팔달구,행궁동,중동
72,팔달구,지동,지동
73,팔달구,행궁동,팔달로1가
74,팔달구,행궁동,팔달로2가
75,팔달구,행궁동,팔달로3가
76,팔달구,화서1동,화서동
77,팔달구,화서2동,화서동
